Rank,Name
1,SCOTTIE SCHEFFLER
2,RORY MCILROY
3,JON RAHM
4,WYNDHAM CLARK
5,XANDER SCHAUFFELE
6,VIKTOR HOVLAND
7,PATRICK CANTLAY
8,BRIAN HARMAN
9,LUDVIG ABERG
10,MATT FITZPATRICK
11,MAX HOMA
12,HIDEKI MATSUYAMA
13,TOMMY FLEETWOOD
14,CAMERON YOUNG
15,SAHITH THEEGALA
16,KEEGAN BRADLEY
17,RUSSELL HENLEY
18,JORDAN SPIETH
19,TYRRELL HATTON
20,COLLIN MORIKAWA
21,JASON DAY
22,SAM BURNS
23,TOM KIM
24,NICK TAYLOR
25,MATTHIEU PAVON
26,TONY FINAU
27,CHRIS KIRK
28,JUSTIN THOMAS
29,SEPP STRAKA
30,DENNY MCCARTHY
31,WILL ZALATORIS
32,MIN WOO LEE
33,BROOKS KOEPKA
34,AKSHAY BHATIA
35,LUCAS GLOVER
36,SHANE LOWRY
37,RICKIE FOWLER
38,NICOLAI HOJGAARD
39,EMILIANO GRILLO
40,ERIC COLE
41,SUNGJAE IM
42,STEPHAN JAEGER
43,KURT KITAYAMA
44,BYEONG HUN AN
45,HARRIS ENGLISH
46,ADAM HADWIN
47,J.T. POSTON
48,SI WOO KIM
49,COREY CONNERS
50,AUSTIN ECKROAT
51,ADAM SCHENK
52,JAKE KNAPP
53,ADAM SCOTT
54,RYAN FOX
55,TAYLOR MOORE
56,CHRISTIAAN BEZUIDENHOUT
57,ADRIAN MERONK
58,JUSTIN ROSE
59,GRAYSON MURRAY
60,TOM HOGE
61,BRENDON TODD
62,CAMERON DAVIS
63,ERIK VAN ROOYEN
64,MACKENZIE HUGHES
65,ALEX NOREN
66,THOMAS DETRY
67,LUKE LIST
68,CAMERON SMITH
69,PETER MALNATI
70,NICK DUNLAP
71,ANDREW PUTNAM
72,THORBJORN OLESEN
73,KEITH MITCHELL
74,LEE HODGES
75,MARK HUBBARD
76,AARON RAI
77,BEAU HOSSLER
78,ADAM SVENSSON
79,KEITA NAKAJIMA
80,ROBERT MACINTYRE
81,RASMUS HOJGAARD
82,LUCAS HERBERT
83,BILLY HORSCHEL
84,SAMI VALIMAKI
85,TAYLOR MONTGOMERY
86,PATRICK RODGERS
87,RYO HISATSUNE
88,RIKUYA HOSHINO
89,KYOUNG-HOON LEE
90,BEN GRIFFIN
91,VICTOR PEREZ
92,JORDAN SMITH
93,JOAQUIN NIEMANN
94,THRISTON LAWRENCE
95,MATT WALLACE
96,MATT KUCHAR
97,ALEXANDER BJORK
98,ALEJANDRO TOSTI
99,VINCENT NORRMAN
100,MAVERICK MCNEALY
101,JUSTIN SUH
102,SAM RYDER
103,TAYLOR PENDRITH
104,JESPER SVENSSON
105,TAKUMI KANAYA
106,ZANDER LOMBARD
107,CHAN KIM
108,DAVID PUIG
109,CHUN-AN YU
110,CHARLEY HOFFMAN
111,NATE LASHLEY
112,PATRICK REED
113,SEAMUS POWER
114,MICHAEL KIM
115,CHANDLER PHILLIPS
116,DEAN BURMESTER
117,LOUIS OOSTHUIZEN
118,PABLO LARRAZABAL
119,ZAC BLAIR
120,DAVIS THOMPSON
121,JORGE CAMPILLO
122,YANNIK PAUL
123,DOUG GHIM
124,MATTI SCHMID
125,SEONGHYEON KIM
126,ALEX SMALLEY
127,SAMUEL STEVENS
128,BEN SILVERMAN
129,SEBASTIAN SODERBERG
130,YECHUN CARL YUAN
131,C.T. PAN
132,EWEN FERGUSON
133,BEN KOHLES
134,JOOST LUITEN
135,GARY WOODLAND
136,CHEZ REAVIE
137,MAX GREYSERMAN
138,J.J. SPAUN
139,SCOTT STALLINGS
140,ADRIAN OTAEGUI
141,ANTOINE ROZNER
142,TOM MCKIBBIN
143,ROMAIN LANGASQUE
144,CONNOR SYME
145,RICHARD HOEY
146,BRANDON WU
147,ALEX FITZPATRICK
148,DAVID SKINNS
149,TAIGA SEMIKAWA
150,JUSTIN LOWER
151,ANDREW NOVAK
152,TYLER DUNCAN(JUL1989)
153,MARTIN LAIRD
154,DYLAN WU
155,HAYDEN BUCKLEY
155,CALLUM SHINKWIN
157,RYAN MOORE
158,JOEL DAHMEN
159,MASON ANDERSEN
160,JOE HIGHSMITH
161,JIMMY STANGER
162,DAVID LINGMERTH
163,GRANT FORREST
164,NATHAN KIMSEY
165,CAMILO VILLEGAS
166,PHIL MICKELSON
167,CHESSON HADLEY
168,CARSON YOUNG
169,DANIEL HILLIER
170,ROBBY SHELTON IV
171,MARCEL SIEM
172,NICK HARDY
173,MATTEO MANASSERO
174,RICHARD MANSELL
175,GUILLERMO MITO PEREIRA
176,GARRICK HIGGO
177,KEVIN STREELMAN
178,BEN MARTIN
179,HARRY HALL
180,BRICE GARNETT
181,JULIEN GUERRIER
182,NORMAN XIONG
183,GREYSON SIGG
184,PARKER COODY
185,DAN BRADBURY
186,JEFF WINTHER
187,MATTHEW NESMITH
188,PETER KUEST
189,SHUBHANKAR SHARMA
190,MATTHEW SOUTHGATE
191,AARON BADDELEY
192,NICHOLAS LINDHEIM
193,ERIK BARNES
194,JACOB BRIDGEMAN
195,CALUM HILL(NOV1994)
196,ADRIEN DUMONT DE CHASSART
197,SAM BAIRSTOW
198,TAYLOR DICKSON
199,JOSEPH BRAMLETT
200,PIERCESON COODY
201,NACHO ELVIRA
202,GAVIN GREEN
203,RICHIE RAMSAY
204,DANIEL BROWN(OCT1994)
205,ANDY OGLETREE
206,MAXIMILIAN KIEFFER
207,FREDERIC LACROIX
208,UGO COUSSAUD
209,MATTHEW JORDAN
210,BRYSON DECHAMBEAU
211,AARON COCKERILL
212,ISAIAH SALINDA
213,ABRAHAM ANCER
214,DYLAN FRITTELLI
215,VINCENT WHALEY
216,DARIUS VAN DRIEL
217,MARCUS HELLIGKILDE
218,MCCLURE MEISSNER
219,HENNIE DU PLESSIS
220,TREY MULLINAX
221,WEBB SIMPSON
222,CARLOS ORTIZ
223,DAVID LIPSKY
224,CALLUM TARREN
225,WILLIAM GORDON
226,LAURIE CANTER
227,SEAN CROCKER
228,BEN CAMPBELL
229,JOHN CATLIN
230,ANDY SULLIVAN
231,CHAD RAMEY
232,CRISTOBAL DEL SOLAR
233,TRAVIS SMYTH
234,GAGANJEET BHULLAR
235,TYSON ALEXANDER
236,DAVIS RILEY
237,RYO ISHIKAWA
238,RYAN PALMER
239,SCOTT JAMIESON
240,STEVEN FISK
241,HURLY LONG
242,PAUL BARJON
243,YOUNGHAN SONG
244,TODD CLEMENTS
245,BENJAMIN TAYLOR
246,TRACE CROWE(OCT1996)
247,RYAN GERARD
248,GUIDO MIGLIOZZI
249,ZACH JOHNSON
250,JORDAN GUMBERG
251,BRIAN CAMPBELL
251,RICKY CASTILLO
253,NICK BACHEM
254,KIRADECH APHIBARNRAT
255,TOM WHITNEY
256,KEVIN ROY
257,ALEJANDRO DEL REY
258,PAUL WARING(FEB1985)
259,HENRIK NORLANDER
260,DANNY WILLETT
261,HAYDEN SPRINGER
262,KEVIN VELO
263,MARCUS ARMITAGE
264,PHACHARA KHONGWATMAI
265,TRENT PHILLIPS
266,FRANCESCO MOLINARI
267,JOHANNES VEERMAN
268,TROY MERRITT
269,OCKIE STRYDOM
270,WILSON FURR
271,RYAN VAN VELZEN
272,FABRIZIO ZANOTTI
273,LOUIS DE JAGER
274,CHRIS GOTTERUP
275,JULIEN BRUN
276,STEWART CINK
277,SANGHYUN PARK(APR1983)
278,YUKI INAMORI
279,JENS DANTORP
280,AARON WISE
281,EDDIE PEPPERELL
282,THOMAS WALSH
283,JACKSON SUBER
284,MATTHEW BALDWIN
285,SADOM KAEWKANJANA
286,DAVID RAVETTO
287,DALE WHITNELL
288,KEVIN DOUGHERTY
288,WILSON BATEMAN
290,SHUGO IMAHIRA
291,CASEY JARVIS
292,RAFAEL CAMPOS
293,AUSTIN SMOTHERMAN
294,JEREMY PAUL
295,JACQUES KRUYSWIJK
296,PADRAIG HARRINGTON
297,PATTON KIZZIRE
298,MARTY DOU ZECHENG
299,DAVID MICHELUZZI